Date,HIST Total,HIST Used,PARAM Total,PARAM Used
2014-08-02,6950.28,4915.03,8783.90,3652.31
2014-08-03,6950.28,4943.96,8783.90,3838.99
2014-08-04,6950.28,4791.30,8783.90,3317.31
2014-08-05,6950.28,4825.65,8783.90,2987.50
2014-08-07,6950.28,4883.47,8783.90,3395.16
2014-08-08,6950.28,4912.08,8783.90,3586.81
2014-08-09,6950.28,4939.62,8783.90,3754.73
2014-08-10,6950.28,4968.30,8783.90,3935.51
2014-08-11,6950.28,4881.99,8783.90,3495.31
2014-08-12,6950.28,4909.01,8783.90,2949.62
2014-08-13,6950.28,4938.62,8783.90,3159.67
2014-08-14,6950.28,4968.01,8783.90,3340.98
2014-08-15,6950.28,4997.85,8783.90,3521.12
2014-08-16,6950.28,5028.99,8783.90,3714.06
2014-08-17,6950.28,5061.12,8783.90,3914.92
2014-08-18,6950.28,4916.05,8783.90,2783.73
2014-08-19,6950.28,4947.98,8783.90,2800.47
2014-08-20,6950.28,4979.21,8783.90,2975.70
2014-08-21,6950.28,5011.43,8783.90,3144.82
2014-08-22,6950.28,5043.39,8783.90,3343.22
2014-08-23,6950.28,5073.66,8783.90,3488.51
2014-08-24,6950.28,5103.62,8783.90,3659.30
2014-08-25,6950.28,4947.08,8783.90,2967.52
2014-08-26,6950.28,4976.03,8783.90,2628.17
2014-08-27,6950.28,5007.10,8783.90,2843.44
2014-08-28,6950.28,5036.76,8783.90,3077.99
2014-08-29,6950.28,5066.90,8783.90,3315.75
2014-08-30,6950.28,5096.36,8783.90,3555.24
2014-08-31,6950.28,5125.35,8783.90,3759.82
2014-09-01,6950.28,4968.66,8783.90,3179.97
2014-09-02,6950.28,4999.54,8783.90,2915.80
2014-09-03,6950.28,5031.84,8783.90,3141.23
2014-09-04,6950.28,5064.36,8783.90,3364.96
2014-09-05,6950.28,5097.03,8783.90,3598.93
2014-09-06,6950.28,5130.96,8783.90,3849.87
2014-09-07,6950.28,5164.99,8783.90,4089.55
2014-09-08,6950.28,5000.59,8783.90,3251.91
2014-09-09,6950.28,5010.31,8783.90,3199.50
2014-09-10,6950.28,5039.08,8783.90,3342.23
2014-09-11,6950.28,5067.86,8783.90,3533.11
2014-09-12,6950.28,5097.66,8783.90,3709.93
2014-09-13,6950.28,5128.80,8783.90,3916.93
2014-09-14,6950.28,5160.65,8783.90,4118.72
2014-09-15,6950.28,5013.78,8783.90,3423.05
2014-09-16,6950.28,5045.44,8783.90,3120.30
2014-09-17,6950.28,5078.13,8783.90,3375.62
2014-09-18,6950.28,5111.30,8783.90,3620.03
2014-09-19,6950.28,5141.88,8783.90,3856.80
2014-09-20,6950.28,5171.99,8783.90,4074.93
2014-09-21,6950.28,5201.18,8783.90,4293.00
2014-09-22,6950.28,5124.79,8783.90,3295.90
2014-09-23,6950.28,5150.13,8783.90,3039.51
2014-09-24,6950.28,5176.08,8783.90,3178.93
2014-09-25,6950.28,5201.01,8783.90,3318.26
2014-09-26,6950.28,5225.55,8783.90,3460.56
2014-09-27,6950.28,5249.71,8783.90,3593.28
2014-09-28,6950.28,5267.25,8783.90,3680.28
2014-09-29,6950.28,5218.36,8783.90,2619.97
2014-09-30,6950.28,5235.99,8783.90,2611.95
2014-10-01,6950.28,5250.20,8783.90,2669.85
